hour,weekday,month,holiday,precipitation_mm,visibility_km,temperature_c,wind_speed_kmh,traffic_density,num_lanes,ilumination,work_zone,num_accidents
13,5,8,0,0,9.6,27.5,5.9,8,2,1,0,4
11,3,5,0,0,9.8,20.7,2.2,6,2,1,0,1
13,3,4,0,0,9.6,16.5,57,6,3,1,0,1
14,4,3,0,20.7,5.9,11.8,15.1,6,2,1,0,2
2,4,11,0,0,9.9,11.6,72.5,1,3,1,0,3
7,1,10,0,0,10.3,18.4,57.7,8,2,1,0,4
21,2,3,0,0,9.7,10,59.5,3,3,1,0,0
8,1,5,1,0,10.2,20.7,72.4,6,2,1,0,2
12,1,1,0,27.2,5.5,11,66,6,3,1,0,6
20,0,7,0,0,9.7,25.2,42.6,3,2,1,0,2
17,1,1,0,0,9.9,9.1,89.6,8,3,1,0,0
16,0,11,0,3.9,9.5,9.3,85.5,5,3,1,0,2
5,3,2,0,19.2,7,12.5,41.2,3,3,1,1,3
4,6,3,0,37.3,2.8,10.7,58.5,2,4,1,0,2
9,3,7,0,0,10,26.5,87.6,8,2,1,0,4
15,6,12,0,4.2,9.1,7.7,52.2,6,3,1,0,0
5,0,4,0,3,9.2,15,6.5,2,3,1,1,3
13,5,11,0,0,9.5,14.6,22.3,6,3,1,0,1
7,3,10,0,0,10,21.2,51.1,9,2,1,0,7
7,4,6,0,0,10.1,24.8,21.9,9,2,1,1,3
21,0,6,0,0,10.3,25.2,14.3,4,4,1,0,0
18,2,7,0,0,9.8,29.9,76.4,9,2,1,0,5
13,1,5,0,0,9.8,16.5,73.5,6,3,1,0,0
7,6,3,0,0,9.9,13.6,87.7,2,4,1,0,5
15,2,2,0,0,9.8,7.8,79.9,6,4,1,0,3
2,6,9,0,0,10,21.9,44.6,3,3,1,0,4
16,5,4,0,0,10.4,18.2,17.1,6,3,1,1,2
11,6,7,0,6.5,8.8,26.1,55.6,8,3,1,0,8
0,1,9,0,0,9.5,19.7,23,2,3,1,0,3
3,0,9,0,0,10.1,22.7,82.6,1,3,1,0,3
19,2,1,0,0,9.9,7.3,32.3,8,3,1,0,3
20,1,9,1,45.4,1.8,24,0.3,2,2,1,0,6
18,3,1,0,0,10.4,11.6,36.7,10,4,1,0,2
12,3,1,0,14.9,7.2,9.8,63.2,5,2,1,0,3
19,3,6,0,0,9.9,22.1,1.5,9,3,1,0,1
6,1,9,0,0,9.8,23.6,85.7,3,3,1,0,4
14,6,6,0,5.8,9.1,20.5,88.3,8,3,1,0,3
18,1,8,0,0,9.7,27.9,54.7,10,3,1,0,4
6,2,12,0,0,10.1,10.8,82.8,3,3,1,0,3
7,0,7,0,0,9.8,28.9,87.8,8,2,1,0,2
3,1,7,0,0,9.9,25.9,32.5,2,4,1,0,1
19,3,8,0,21.4,6,28.2,52.4,8,2,1,1,11
18,3,7,0,0,9.7,25.1,43.8,10,3,1,0,6
18,0,5,0,0,9.8,15.3,65.2,9,3,1,1,4
4,2,5,0,0,10,18.3,5.5,2,3,1,0,5
3,2,7,0,0,10,29.9,84.7,1,3,1,0,1
0,4,11,0,0,10,9,64.8,2,2,1,0,3
10,3,8,0,0,10.5,25.8,69.4,7,3,1,0,2
2,4,7,0,0,9.9,28.1,47.5,1,2,1,0,2
0,1,3,0,0,9.8,14.6,46.4,2,3,1,0,2
0,6,6,0,0,10.5,25.4,73.5,4,4,1,0,2
17,5,1,0,0,10.4,9.9,80.7,7,2,1,0,7
11,3,9,0,0,9.5,25.4,54.1,7,2,1,1,2
8,0,6,0,0,10.2,24.6,13.1,8,3,1,0,2
23,6,10,0,12.5,7.5,16.6,84.5,3,2,1,0,3
13,6,12,0,29,5.1,11.7,32.8,7,3,1,1,3
15,1,11,0,0,10.3,10.7,57.1,6,4,1,0,1
2,1,11,0,38.1,2.9,16.8,40.9,1,3,1,1,13
5,2,11,0,0,9.6,16.9,60.2,2,4,1,0,1
7,6,9,0,0,10.3,24.8,22,4,2,1,0,1
23,2,1,0,0,10.4,6.1,23.4,3,4,0,0,2
12,4,1,0,0,9.6,10,70.4,6,3,1,0,2
0,1,2,0,15.8,7.6,10.8,22.5,3,2,1,0,1
18,1,12,0,18.1,7.2,13.6,50.4,8,3,1,0,5
5,5,10,0,0,9.5,16.6,32.8,3,4,1,0,4
12,6,6,0,0,10.2,25.7,72.9,7,3,1,0,1
18,5,6,1,0,10,25.1,49.2,4,2,1,0,7
14,4,4,1,0,10.1,15.5,73.2,4,3,1,0,6
10,6,7,0,0,10.2,27.1,0.3,6,2,1,0,3
14,6,6,1,0,10.4,24.3,3.1,5,4,1,0,0
12,6,10,0,0,10.5,15.7,1.9,7,3,1,0,2
5,0,3,0,0,10.3,14.2,1.2,2,4,1,0,3
2,1,1,0,0,10,6.4,61.3,2,4,1,0,1
13,0,11,0,0,10.2,11.2,6,5,4,1,0,1
13,2,3,0,0,10,8.9,61.6,7,2,1,1,0
23,3,2,0,0,9.7,8.6,89,3,2,1,0,0
23,3,7,0,0,10.4,26.4,2.2,2,3,0,0,1
4,6,5,0,0,10.5,18.8,3.4,2,3,1,0,3
19,1,2,0,0,9.5,9.7,72.6,8,4,1,0,3
3,5,2,0,0,10.3,8.2,57.4,3,4,1,0,5
20,3,12,0,0,10.2,8.2,44,3,2,1,0,0
18,6,10,0,0,10.1,19.9,84.7,6,3,1,0,4
6,1,5,0,30.8,4.5,15.2,41.7,2,2,1,0,4
22,6,10,0,0,10.2,21.6,19,2,2,1,0,0
20,1,1,0,0,10,5.7,72.1,2,3,1,0,5
8,4,11,0,44.5,2,12.4,62.5,7,3,1,0,7
2,0,3,0,0,10,8,47.8,1,4,0,0,4
13,3,4,0,0,9.6,14.6,0.6,6,3,1,0,1
23,6,5,0,0,9.7,22,75.6,3,3,1,0,1
5,2,8,0,0,10.1,26.6,62.5,2,2,1,0,0
20,3,1,0,33.6,3.7,8.8,74.6,2,4,1,0,3
14,6,11,0,0,10.5,9.8,54.9,7,4,1,0,1
20,2,8,0,0,10.2,25.3,63.2,3,4,1,0,3
16,6,5,0,38,3.3,19.6,87.5,7,2,1,0,5
21,6,4,1,0,10,13.8,7.5,2,3,0,0,3
22,4,8,0,0,10.3,29.4,25.6,1,4,1,0,1
17,3,12,0,20.7,6.3,7,57.6,8,3,1,0,6
21,1,9,0,16,6.9,24.3,34,3,2,1,0,1
4,5,9,0,0,9.9,20.1,23,2,3,0,0,5
12,6,10,0,0,10.4,14.9,53.3,6,3,1,1,1
21,1,11,0,0,10.1,9.2,56.4,3,4,1,0,1
22,4,1,0,0,10,9.1,10.4,2,2,1,0,0
17,6,4,0,0,10,16.1,78.6,5,3,1,0,5
6,2,4,0,0,10.2,13.8,36.7,4,2,1,0,2
3,2,11,0,0,10.1,14.3,79.8,2,3,1,0,2
17,5,1,0,24,5.3,8.5,44.1,5,3,1,0,6
8,3,10,0,0,10.4,14,17.3,9,3,1,0,2
12,2,2,0,0,9.8,12,3,6,2,1,0,1
13,5,6,0,0,10,26.4,21.4,8,3,1,0,1
0,4,1,0,0,10.2,6,47.3,2,2,1,0,0
6,3,9,0,0,10.4,23.9,56.7,4,4,1,0,0
6,0,8,1,0,10,29.2,38.2,2,2,1,0,3
3,2,5,1,0,10.2,22.8,89.3,1,2,1,0,2
5,6,12,0,0,10.4,11.3,36.8,3,2,1,0,1
18,6,11,0,0,10.2,13.9,31.6,5,3,1,0,3
16,4,6,0,0,10.4,24.2,23.6,6,4,1,0,2
19,0,6,0,0,10,20.7,62.8,8,3,1,1,11
1,1,8,0,0,10.1,27.8,8.6,2,3,0,1,4
8,2,9,0,0,9.8,20.1,75.8,8,2,1,0,5
15,5,3,0,0,10.1,13.3,32,7,2,1,0,6
21,4,3,0,0,10.4,14.1,78.6,3,2,1,0,2
3,2,12,0,39.1,2.8,7.2,63.3,2,4,0,0,2
11,0,10,0,0,10.2,21.2,27.7,6,3,1,1,4
9,4,8,0,0,9.7,29.2,4.9,8,2,1,0,2
19,0,11,1,0,10.3,11,57.7,7,4,1,1,1
4,0,11,0,16.1,7.5,12.8,31,1,3,0,0,6
4,2,9,0,0,9.9,22.3,2.2,3,3,1,0,1
12,2,9,0,0,9.6,19.4,31.7,6,3,1,0,1
19,4,6,0,0,10.1,23.1,25.9,8,2,1,0,1
21,5,7,0,0,9.5,26.8,30.1,2,2,1,0,1
20,3,6,0,0,10.1,20.3,51.7,4,4,1,0,2
19,5,10,0,0,10,14.7,46.8,7,4,1,0,6
0,6,10,0,0,9.9,22,20.1,3,3,1,0,3
16,4,10,0,0,9.6,19.1,8.2,7,4,1,0,2
16,5,1,0,39.6,2.8,7.5,65.3,7,3,1,0,3
21,0,3,0,16.3,7.4,10.4,12.6,3,3,1,0,1
14,3,10,0,0,10.3,19.1,37.4,5,2,1,0,0
6,0,9,0,0,10.1,20.5,15.4,2,4,1,0,0
22,1,4,0,0,10,18.7,16.3,2,3,1,0,1
22,3,5,0,0,10.4,17.3,11.3,3,2,1,0,0
3,3,5,0,0,9.6,20.9,4,2,4,0,0,2
21,3,1,0,0,10.4,8,86.4,2,3,1,1,2
21,3,1,0,5.2,9.3,12,24.2,3,4,1,0,5
8,5,12,0,18.5,6.6,11.1,67.6,4,2,1,0,3
10,5,6,0,0,9.5,22.2,6.9,6,2,1,0,0
11,5,9,0,18.5,6.8,19.6,4.6,7,3,1,0,5
7,4,6,0,38.6,3.1,26.1,55.1,9,3,1,0,4
22,1,4,0,31.4,4.6,12,56.7,1,4,1,0,2
14,6,6,1,0,10.3,21.8,29.1,5,3,1,0,5
23,5,12,0,14.8,6.9,7.9,5.5,2,2,1,0,6
10,4,2,0,0,9.6,8.4,64.7,7,2,1,0,2
17,3,11,0,0,9.6,9,69.4,9,3,1,0,3
0,1,4,0,0,9.6,11.2,17.2,2,3,1,0,0
21,1,6,1,0,10,19.8,83.9,2,2,1,0,0
15,3,3,0,0,10.2,10.2,66.2,7,3,1,1,7
8,0,9,0,0,9.5,18.4,22.1,9,3,1,1,2
10,3,8,0,0,9.6,28,82.3,5,2,1,0,3
22,3,8,0,0,9.7,24.4,85.2,1,3,1,0,4
23,6,2,0,0,9.8,11.8,19.6,3,2,1,0,0
18,6,12,0,0,10.4,13,61.9,7,3,1,1,6
0,4,11,0,0,10.1,10.8,78.7,2,2,1,0,3
14,2,2,0,17.4,7.2,11.8,83.6,5,4,1,0,6
10,1,1,0,0,9.8,8.9,51.3,5,4,1,0,2
5,5,12,0,24.4,5.7,13,6.3,3,3,1,0,4
19,0,5,0,0,10.5,18,32.7,9,3,1,0,6
4,5,11,0,0,10.2,11.1,56.3,4,4,1,0,5
21,3,8,0,0,9.5,27.2,51.3,3,2,1,0,0
1,1,4,0,0,10.3,17.7,29.2,1,4,1,0,2
13,5,2,0,43.5,2.4,13.2,75.7,8,2,1,0,4
19,0,6,0,0,10,24.2,2.7,10,4,1,0,5
12,2,10,0,0,10,17.5,58.5,6,3,1,0,3
21,5,1,0,2.5,9.1,5.3,12.2,4,3,1,1,3
23,4,8,0,0,9.5,24.2,52.6,3,4,0,0,6
0,2,10,0,47.9,1.2,21.1,7.7,1,3,1,0,2
11,2,1,0,0,10,8.6,28.5,6,2,1,0,2
8,0,5,0,0,9.6,18.2,51,7,4,1,0,1
4,0,6,0,0,9.6,26.7,11,1,4,1,0,1
6,6,6,0,0,9.5,19.8,77.1,4,2,1,0,3
6,0,12,1,44.9,1.6,6.1,13.1,2,3,1,0,4
16,3,12,0,0,9.9,10.7,28.6,7,2,1,0,0
0,4,12,0,0,10.3,12.7,53.2,1,4,1,0,0
19,4,11,0,36.1,3.6,16.5,10,10,2,1,0,11
6,2,12,0,20.6,6.1,7.4,21.9,4,3,1,0,5
2,6,3,0,0,10.2,11.7,73.7,2,4,1,0,3
2,0,8,1,0,9.6,29.7,45.3,3,4,1,0,3
11,3,10,0,0,10.2,20.3,34.7,7,3,1,0,0
14,6,3,0,0,10.2,13.4,34.3,8,3,1,1,7
8,0,11,0,28.6,5,14.4,89.9,8,3,1,0,8
12,5,7,0,0,9.5,27.7,31.9,7,2,1,0,3
6,0,7,0,0,9.5,27.7,68.5,4,3,1,0,4
18,5,5,0,0,9.8,18.3,35.3,6,4,1,0,3
12,0,10,0,0,9.6,21.2,27.9,7,2,1,0,2
2,3,8,0,0,10.2,29.8,69,2,3,1,0,4
6,5,2,0,0,10.1,11.3,11.9,2,3,1,1,5
13,3,5,0,0,9.9,18.2,85.6,7,3,1,0,4
6,4,3,0,0,9.7,11.7,4,4,2,1,0,2
7,5,3,0,8,8.3,15.3,73.1,3,3,1,0,2
16,4,6,0,0,9.6,19.1,79.2,6,3,1,0,0
7,6,10,0,0,10.4,17.2,6.7,4,2,1,0,2
14,1,7,0,0,10.3,28.3,85.2,5,3,1,1,4
10,4,3,0,0,10.1,11.1,45.6,6,3,1,0,5
6,4,2,0,27.3,5.1,9.3,70.6,3,3,1,0,4
20,5,1,0,0,10,8.5,20,3,3,1,0,1
16,5,4,0,28.8,4.3,13.3,53.4,6,3,1,0,6
5,0,7,0,0,10.3,29.5,36.8,1,3,0,0,2
21,1,12,0,0,10.3,8.9,11.8,3,3,1,0,1
21,2,12,0,34.6,4.2,10.4,17.4,4,2,1,0,5
16,3,1,0,0,10.3,12.9,16.5,6,2,1,0,2
0,3,10,0,2.6,9.3,18.2,44.7,2,2,1,1,5
10,0,3,0,49.6,1.3,10.8,67.8,6,2,1,0,5
11,0,8,0,0,10,23.1,73.9,6,4,1,1,2
14,3,6,0,16.4,7.5,21.5,71.6,7,4,1,0,1
7,3,8,0,0,9.6,23.4,22.8,8,3,1,0,1
7,1,10,0,0,9.6,16.2,79.3,9,4,1,0,4
16,1,12,0,25,5.2,12.1,6.1,7,3,1,1,3
0,5,1,1,0,9.7,8.3,46,1,4,1,0,5
15,3,7,0,11.6,8.4,25.8,10.9,6,2,1,0,1
4,4,11,0,0,9.9,15.5,69.4,3,2,1,0,2
11,6,5,0,0,9.5,21.2,52.6,8,3,1,0,2
12,5,5,0,34.4,4.2,17.1,3,7,3,1,0,7
17,5,11,0,0,10.4,10.3,40.2,6,2,1,0,4
11,6,12,0,48.6,1.5,7.8,11.8,7,4,1,0,6
19,6,5,0,0,9.5,20.6,46.4,6,4,1,0,3
22,3,7,0,0,9.8,27.3,43.9,2,3,1,0,1
17,0,6,0,0,10.4,20.3,66.6,8,3,1,0,3
0,5,11,0,0,10.1,15.7,35.8,3,4,1,0,6
12,1,12,1,15.9,7.2,11,16.3,4,3,1,0,5
14,0,11,0,0,9.9,13.9,30.1,6,4,1,0,3
0,6,10,0,0,9.7,17.5,22.6,3,3,1,0,3
5,6,3,0,0,10.3,10.7,40,4,2,1,1,5
3,6,7,0,0,9.7,23.6,36,3,3,1,1,2
23,5,12,0,0,9.6,6.8,30.4,3,3,1,0,3
18,6,8,0,0,10.2,25.8,32.4,6,4,1,0,2
8,6,4,0,0,10.3,17.9,70.7,4,3,1,0,4
20,6,5,0,0,9.8,19.6,78.9,2,3,1,0,1
13,6,8,0,0,10.1,25,63.9,6,2,1,0,2
4,6,2,0,0,9.8,8.1,19.1,4,4,1,0,2
18,4,12,0,0,10.4,6.8,83.8,8,2,1,0,6
0,6,11,0,0,9.9,11.8,26.8,4,2,1,0,0
20,3,9,1,0,9.8,25.7,2.8,3,3,1,0,3
22,6,4,0,0,9.8,18.3,37.5,4,3,1,0,1
11,2,10,0,0,10.2,19,52,7,3,1,0,6
2,1,7,0,0,9.9,29.6,51.2,1,3,0,0,2
18,0,2,0,0,9.6,6.7,80.4,10,2,1,0,5
6,5,5,0,0,9.6,15,52.5,2,2,1,0,4
5,6,6,0,0,10.4,24.4,89.8,3,3,1,0,1
9,4,8,1,0,10.1,27.6,29,7,2,1,0,3
10,6,11,0,0,10.2,15.3,9,8,3,1,0,1
0,1,9,0,0,10.2,24.5,36,2,2,1,0,1
16,6,6,0,0,9.9,26,3.9,6,2,1,0,0
0,0,9,0,0,10.5,20.6,82,2,4,1,0,3
15,0,4,0,4.6,8.7,18.7,71.1,6,4,1,0,2
8,4,8,0,9.8,8.7,27.8,31.4,8,3,1,1,2
22,6,12,0,0,9.5,6.3,24.9,4,3,1,0,3
8,4,2,1,0,9.8,8.6,28.6,7,4,1,0,3
3,1,11,0,0,10.3,16.8,48.8,1,2,1,0,0
4,4,5,0,0,9.6,15.8,76.6,2,2,1,0,0
12,5,6,0,0,10.2,25.5,11.9,7,3,1,0,4
2,0,3,0,35,3.3,11.6,74.3,2,3,1,0,6
9,0,5,0,0,10.4,16.4,45.5,8,3,1,0,2
21,6,12,0,0,9.8,10.9,0.7,4,4,0,0,2
4,2,8,0,35.2,3.7,25.7,85.8,1,2,1,0,3
18,4,12,0,0,9.9,8.7,49.7,9,4,1,0,4
3,3,4,0,0,9.8,15.2,83.4,2,3,1,0,0
4,4,2,0,0,9.7,8.5,9.6,2,4,1,1,3
7,0,5,0,0,9.9,20.8,20.4,7,2,1,0,1
3,0,4,1,0,10.3,12.5,25.4,2,3,1,0,0
11,2,11,0,7.1,8.7,12.8,84.8,5,2,1,0,4
16,3,12,0,0,10.1,11.2,27.5,5,3,1,1,2
19,3,8,0,0,9.9,23.7,37,8,2,1,0,4
11,5,3,0,7.6,9,14.7,73.3,8,4,1,0,4
22,1,4,0,15.6,6.9,14.3,87.9,1,3,1,0,4
1,3,2,0,0,10.3,10.6,80.8,3,2,1,0,2
6,3,2,0,0,10.4,9.2,16.4,3,2,1,0,0
9,2,9,0,0,10.2,23.9,76.6,8,3,1,0,2
21,0,6,0,0,9.6,26.1,73.7,3,3,1,0,0
23,3,5,0,0,9.7,17.5,20.8,2,2,1,0,0
9,4,7,0,0,9.6,26.3,6.8,7,2,1,0,4
13,3,9,0,0,9.6,25.2,62.2,5,4,1,0,3
13,3,6,0,0,9.7,21.7,56.5,7,3,1,0,2
23,3,10,0,44.7,2.1,20.7,56.8,2,2,1,1,3
15,1,6,0,9.6,8.4,21.9,40.3,5,2,1,0,3
3,3,8,0,0,9.9,23.2,58.5,2,2,1,0,1
16,5,3,0,6.8,8.6,8,26.3,6,2,1,0,2
21,0,12,0,0,9.5,9.3,85.6,3,3,1,0,6
5,0,6,0,0,9.8,22.2,51.1,3,2,1,0,0
17,4,5,0,0,9.7,17,81.6,8,4,1,1,3
12,3,7,0,0,10.4,25.3,22,5,3,1,0,2
12,3,10,0,0,9.9,16.7,38.7,5,3,1,0,0
5,1,1,0,14.7,6.9,10.5,83.9,2,2,1,0,6
9,1,9,0,24.6,5.5,25.1,57.7,8,3,1,0,3
3,0,4,1,0,10.2,15.6,85,2,3,0,0,2
9,6,9,0,0,9.7,19.5,25.1,7,3,1,0,2
22,1,7,0,0,9.9,27,11.7,2,2,1,0,0
3,2,11,0,0,10.1,15,3.1,2,3,1,0,3
11,2,5,0,0,10.3,17.1,44,7,2,1,0,2
0,1,6,0,0,9.7,26.6,73.6,3,3,1,0,3
11,6,2,0,0,10.4,8.6,35.4,6,2,1,0,1
3,0,8,0,0,9.8,27.7,61.3,1,3,1,0,2
19,1,6,0,0,10.1,21.6,77.5,10,3,1,1,10
13,0,8,0,0,10.5,24.3,46.2,6,2,1,0,0
20,0,6,0,0,10.4,22.3,36.5,3,2,1,0,0
18,2,7,0,2.9,9.8,25.9,32.8,9,4,1,0,5
7,3,2,0,0,9.7,9.8,40.5,7,3,1,0,1
13,5,12,0,28.7,4.6,10,37.5,8,3,1,0,5
9,0,11,0,0,10,15.3,55.5,8,3,1,0,2
16,0,10,0,0,9.5,18.3,65.1,6,3,1,0,1
4,2,5,0,24.5,5.7,16.1,44,3,4,1,0,2
10,2,4,0,5.3,9.2,15.6,70,5,3,1,0,2
22,6,2,0,0,9.7,13.7,75,4,2,1,0,6
18,3,7,0,0,10,29.8,8.4,8,2,1,0,3
2,4,5,0,0,9.9,15.4,37,1,3,1,0,2
12,3,12,0,0,9.9,11,84.5,6,3,1,0,4
12,2,5,0,0,10.3,20.5,76.3,5,4,1,1,3
19,0,7,0,0,10,25.8,24.4,10,2,1,0,1
9,1,11,0,0,10.1,12.8,87.6,7,4,1,0,1
7,2,8,0,0,9.6,27.3,53.2,8,2,1,0,2
5,3,2,1,36.9,3.2,13.7,28.6,2,2,0,0,3
21,5,2,0,0,10.4,7.6,31.3,3,2,1,0,2
20,4,3,0,40.1,2.8,15.7,62,2,3,1,0,5
1,1,9,0,0,9.6,22.5,51.6,2,2,1,0,1
23,1,6,0,0,9.7,26.4,29,2,3,1,0,2
13,3,12,0,0,9.9,9.4,1,6,2,1,0,0
21,6,12,0,0,9.6,10,23.4,2,3,1,0,2
14,6,9,0,0,10.4,23.3,34.9,8,2,1,0,3
17,3,3,0,37.9,2.8,11,39.9,10,4,1,0,5
3,4,3,0,0,10.4,11.6,30.1,3,3,1,0,1
17,6,12,0,11.7,8.3,7,34.1,6,3,1,0,4
21,6,1,0,0,9.9,10.8,19.6,3,3,1,0,0
3,1,3,0,0,10,9.7,74.1,2,3,1,0,4
13,1,9,0,0,10.2,23.3,13.3,6,4,1,0,1
13,1,7,0,0,9.6,25.7,10.4,7,3,1,0,3
6,4,5,0,0,9.9,19.5,55.4,3,4,1,0,1
1,4,10,0,0,10,16.6,56.5,1,3,1,0,2
18,5,2,0,0,9.9,8.5,78.6,7,3,1,0,6
0,6,6,0,0,10,24.5,89.3,4,2,1,0,6
14,4,10,0,32.4,4.3,17.2,59,7,2,1,0,6
23,0,5,0,0,10,19.1,50.7,1,3,1,0,1
0,0,3,0,0,9.6,13.9,27.3,2,4,1,0,1
11,2,6,0,0,9.7,23.9,22.7,7,3,1,0,2
17,2,5,0,0,9.7,21.6,22.1,10,4,1,0,5
22,2,9,0,7.3,8.3,18.3,38,1,4,1,0,3
20,5,10,0,0,10.4,15,43.7,3,4,1,0,2
22,5,1,0,0,10.4,8.6,49.2,4,2,1,0,1
0,3,11,0,11.4,8,12,89.2,2,2,1,0,3
7,4,9,0,0,10.1,21.8,0.6,8,4,1,0,4
21,0,2,0,0,9.8,13.3,40.6,2,3,1,0,1
0,5,3,0,0,10.5,9.2,20.3,3,3,1,0,0
1,4,11,1,33.9,4.2,10.1,80.5,2,3,1,0,6
16,1,8,0,0,10.3,29.6,26.6,6,2,1,0,1
19,4,12,0,0,9.9,8.8,29.8,8,2,1,1,11
14,2,1,0,0,10.3,9.4,87.4,5,2,1,0,1
14,3,6,0,17.5,6.6,26.2,53.7,7,2,1,0,0
6,1,1,0,3.1,9.6,6,68.6,2,2,1,0,3
14,2,6,0,21.9,6,24.1,44.4,6,4,1,0,1
5,1,6,0,0,9.9,23.3,55,1,2,1,0,0
6,1,5,0,0,9.8,16.4,56,3,3,1,0,1
5,4,12,0,0,10.1,11.9,27.4,2,3,1,0,2
14,6,9,0,0,9.7,25.7,84.2,8,3,1,0,6
23,0,6,0,0,9.9,25.7,35.7,2,3,1,0,1
18,5,1,0,49.9,0.8,9,0.3,7,3,1,0,12
5,4,6,1,0,9.9,25.1,29.7,3,4,1,1,2
5,6,4,0,40.9,2.9,13.1,73.8,4,2,0,0,7
21,0,3,0,0,9.8,14,50.4,2,3,1,0,1
16,6,11,0,0,10.3,14.5,75.9,5,3,1,0,5
22,3,11,0,49.6,1.1,9.4,49.3,2,3,1,0,4
13,6,1,0,0,9.6,12,28.3,6,4,1,0,3
20,3,11,0,42.4,2.2,12.9,69.9,2,4,1,0,3
9,1,1,0,0,10.3,12,16.8,8,3,1,0,4
22,2,5,0,0,9.6,15.4,18.5,2,3,1,0,4
0,6,11,0,0,9.9,11.2,19,3,2,1,0,3
11,4,6,0,0,10,19.5,36.8,6,2,1,0,2
11,3,10,0,0,10.1,17.5,1.9,6,2,1,0,0
0,1,12,0,0,10.2,6.2,56.2,3,3,0,0,1
15,1,12,0,10.1,8,11.1,38.1,5,3,1,0,3
23,4,12,0,0,10,6,50.5,1,4,1,0,0
23,1,4,0,0,10.4,18.5,18.8,1,2,1,1,1
14,6,2,0,0,10.3,9.3,22.1,7,3,1,0,3
5,5,1,0,0,9.7,5.4,25.4,3,4,1,0,4
8,4,6,0,0,9.5,21.3,12.7,9,3,1,0,0
20,1,9,0,38.4,3.1,23.7,48.5,4,2,1,0,3
8,0,4,0,0,10.3,16.9,42.6,7,4,1,0,1
7,2,9,0,0,9.7,19.3,7.4,9,2,1,0,4
5,0,2,0,0,10.1,9.3,3.9,1,2,1,0,0
21,3,7,0,0,9.8,28.5,35,4,2,1,0,1
20,6,2,0,46.2,1.6,13.4,88.1,4,3,1,0,7
8,5,12,0,0,9.9,8.8,42,2,2,1,0,5
7,4,5,0,0,10.3,17.6,78.6,8,3,1,0,6
16,6,9,0,0,9.8,20.5,1.5,6,2,1,0,2
17,2,3,1,0,9.6,14.2,63.3,7,3,1,0,9
4,1,5,0,0,10.5,22.9,0.1,1,3,1,0,0
9,3,3,0,0,10.4,15.3,3.9,8,2,1,0,2
21,0,7,0,0,10.4,26.8,59.8,3,3,0,0,3
16,1,11,0,0,10.4,16.1,70.7,7,2,1,0,0
19,2,6,0,0,10.1,21.8,45.7,9,3,1,0,2
3,6,10,0,6.4,9.2,19.7,21.2,2,4,1,0,4
6,6,5,0,0,10.2,20.7,69.2,3,4,1,1,2
6,1,5,0,0,10.3,22.8,75.3,2,2,1,0,0
23,6,8,0,0,9.7,24.3,20.5,3,4,1,0,3
18,5,1,0,7.2,9.1,6.3,44.6,7,3,1,0,2
3,4,9,0,0,10,19.3,25.3,2,3,1,1,5
2,0,10,0,0,9.9,17.4,32.2,3,2,0,1,2
4,3,8,0,0,10.4,23.8,35,2,3,1,1,0
6,3,7,0,0,10.4,23.9,70.1,4,4,1,0,4
22,4,5,0,0,9.6,18.1,77.5,3,2,1,0,2
15,1,6,0,30,4.6,19.3,78.3,7,4,1,1,3
12,6,8,0,0,10.4,27.4,14.4,8,3,1,0,2
22,5,5,0,0,9.6,19.8,26.7,3,3,0,1,6
14,1,5,0,0,9.9,21.8,15.1,7,3,1,0,3
11,6,6,0,0,9.8,25.1,62.3,7,3,1,0,4
7,3,2,0,0,10.2,9.2,62.5,7,3,1,0,2
1,0,6,0,0,10.4,23.5,33.3,3,2,1,0,3
2,2,1,0,42.1,2.4,12.8,5.5,2,3,1,0,7
10,2,11,0,0,10.1,13.6,69.5,6,3,1,0,4
9,1,7,0,0,9.8,26.1,52.7,8,4,1,0,1
14,4,11,0,0,10,10.5,28.6,5,3,1,0,2
14,4,11,0,0,9.8,9.9,76.2,7,2,1,0,3
22,5,10,0,17.1,6.6,21.2,1.8,2,2,1,0,4
17,6,8,0,10.6,7.8,26.5,22.1,5,4,1,0,2
3,4,8,0,0,10.5,24.3,59.2,1,3,1,0,2
22,5,12,0,0,9.5,13.7,41,4,2,1,0,2
8,3,8,0,0,10,27.6,42.8,9,2,1,0,5
1,0,1,1,0,10.1,10.2,39.8,2,2,1,0,0
6,1,6,0,0,9.9,24.9,6.4,2,2,1,1,3
15,0,1,0,0,10.3,6.1,10.5,6,3,1,0,2
3,6,12,1,0,10.3,12.1,80.4,3,4,1,0,2
12,3,7,0,0,10.3,22.3,88.3,6,3,1,1,4
4,5,3,0,0,9.8,9.1,87.3,3,3,1,0,2
15,0,3,0,15.4,7.5,11.1,29.4,7,4,1,0,2
16,5,3,0,0,9.8,12.2,29.8,6,3,1,0,1
5,2,3,0,0,9.6,9.7,86.8,1,2,1,0,1
3,6,11,0,8.2,8.4,14.5,55.4,3,2,1,0,4
16,1,3,0,0,9.5,15.3,55.3,5,3,1,0,0
22,4,7,0,0,10.3,25.5,51.1,1,2,0,0,4
20,0,5,0,0,10.5,17.4,89.8,3,3,1,0,5
14,5,2,0,0,10.1,6.9,17.8,6,3,1,0,3
6,1,3,0,0,9.9,10.6,68.1,3,3,1,0,3
13,5,5,0,0,9.6,22.1,2.7,6,4,1,0,2
